time,geo,unit,s_adj,na_item,value
1985Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1990Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,32134
1990Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31690
1990Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31022
1990Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30837
1991Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30223
1991Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29873
1991Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29262
1991Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28923
1992Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29013
1992Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28692
1992Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28446
1992Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28237
1993Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28307
1993Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28256
1993Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28429
1993Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28638
1994Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28826
1994Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29082
